"","age_group_from","age_group_to","contacts"
"1","[0,3)","[0,3)",1.58853902888377
"2","[0,3)","[3,5)",0.711132948082741
"3","[0,3)","[5,10)",0.802990447345759
"4","[0,3)","[10,15)",0.36358097970012
"5","[0,3)","[15,18)",0.114744525424086
"6","[0,3)","[18,40)",3.93476155254527
"7","[0,3)","[40,65)",2.00105136887178
"8","[0,3)","[65,Inf)",0.150436215493783
"9","[3,5)","[0,3)",1.07352336883381
"10","[3,5)","[3,5)",3.18574142889813
"11","[3,5)","[5,10)",2.24226413089054
"12","[3,5)","[10,15)",0.628071192349065
"13","[3,5)","[15,18)",0.14981328917973
"14","[3,5)","[18,40)",3.56485766805677
"15","[3,5)","[40,65)",2.48539248783137
"16","[3,5)","[65,Inf)",0.385286924519417
"17","[5,10)","[0,3)",0.441721299558981
"18","[5,10)","[3,5)",0.817078964940722
"19","[5,10)","[5,10)",8.5853354074104
"20","[5,10)","[10,15)",2.55259331368913
"21","[5,10)","[15,18)",0.300282833164201
"22","[5,10)","[18,40)",2.78596319675598
"23","[5,10)","[40,65)",2.37669675285699
"24","[5,10)","[65,Inf)",0.434393065736998
"25","[10,15)","[0,3)",0.180519776995397
"26","[10,15)","[3,5)",0.20657216677645
"27","[10,15)","[5,10)",2.30391948467659
"28","[10,15)","[10,15)",13.9740111885728
"29","[10,15)","[15,18)",1.89141326715572
"30","[10,15)","[18,40)",3.43551339408982
"31","[10,15)","[40,65)",2.76145011796837
"32","[10,15)","[65,Inf)",0.279488457114894
"33","[15,18)","[0,3)",0.106041408105749
"34","[15,18)","[3,5)",0.0917134750059164
"35","[15,18)","[5,10)",0.504470824423782
"36","[15,18)","[10,15)",3.52051590067685
"37","[15,18)","[15,18)",7.78172663264278
"38","[15,18)","[18,40)",5.44337106894551
"39","[15,18)","[40,65)",3.03928725141558
"40","[15,18)","[65,Inf)",0.227230459281203
"41","[18,40)","[0,3)",0.51184671776482
"42","[18,40)","[3,5)",0.307187115760514
"43","[18,40)","[5,10)",0.658808078734853
"44","[18,40)","[10,15)",0.900097419949427
"45","[18,40)","[15,18)",0.766206677145241
"46","[18,40)","[18,40)",8.02105682337056
"47","[18,40)","[40,65)",4.26015367584669
"48","[18,40)","[65,Inf)",0.423268300824978
"49","[40,65)","[0,3)",0.266565833381719
"50","[40,65)","[3,5)",0.219321155601571
"51","[40,65)","[5,10)",0.575548672528164
"52","[40,65)","[10,15)",0.740900377458517
"53","[40,65)","[15,18)",0.438101240210921
"54","[40,65)","[18,40)",4.36264634108155
"55","[40,65)","[40,65)",4.88556584319538
"56","[40,65)","[65,Inf)",0.702001500244954
"57","[65,Inf)","[0,3)",0.0676166308092672
"58","[65,Inf)","[3,5)",0.114716185150752
"59","[65,Inf)","[5,10)",0.354932729707024
"60","[65,Inf)","[10,15)",0.253012146464628
"61","[65,Inf)","[15,18)",0.110515746601352
"62","[65,Inf)","[18,40)",1.46249829623254
"63","[65,Inf)","[40,65)",2.36860652706904
"64","[65,Inf)","[65,Inf)",1.26432002202174
