"","age_group_from","age_group_to","contacts"
"1","[0,3)","[0,3)",1.79245160880093
"2","[0,3)","[3,5)",0.800192080818554
"3","[0,3)","[5,10)",0.862582470350103
"4","[0,3)","[10,15)",0.369263575471543
"5","[0,3)","[15,18)",0.12641461102123
"6","[0,3)","[18,40)",3.9358809938066
"7","[0,3)","[40,65)",1.8998318601935
"8","[0,3)","[65,Inf)",0.13119755139963
"9","[3,5)","[0,3)",1.20242231949684
"10","[3,5)","[3,5)",3.58785258412167
"11","[3,5)","[5,10)",2.40078972553466
"12","[3,5)","[10,15)",0.637669121100825
"13","[3,5)","[15,18)",0.163963388696343
"14","[3,5)","[18,40)",3.5400670615979
"15","[3,5)","[40,65)",2.38291780287312
"16","[3,5)","[65,Inf)",0.33035427006521
"17","[5,10)","[0,3)",0.502458077364018
"18","[5,10)","[3,5)",0.9306589278717
"19","[5,10)","[5,10)",8.96045366385683
"20","[5,10)","[10,15)",2.52029076412052
"21","[5,10)","[15,18)",0.328267302603854
"22","[5,10)","[18,40)",2.79077613508484
"23","[5,10)","[40,65)",2.28394377254088
"24","[5,10)","[65,Inf)",0.368243372233485
"25","[10,15)","[0,3)",0.202906160874757
"26","[10,15)","[3,5)",0.233180038763282
"27","[10,15)","[5,10)",2.3774435126255
"28","[10,15)","[10,15)",14.121660029471
"29","[10,15)","[15,18)",2.08732319178766
"30","[10,15)","[18,40)",3.58926793743958
"31","[10,15)","[40,65)",2.62467471103567
"32","[10,15)","[65,Inf)",0.231431389380953
"33","[15,18)","[0,3)",0.118702301190451
"34","[15,18)","[3,5)",0.102458022885945
"35","[15,18)","[5,10)",0.529163996842947
"36","[15,18)","[10,15)",3.56691533459845
"37","[15,18)","[15,18)",8.52537480835147
"38","[15,18)","[18,40)",5.91740107564651
"39","[15,18)","[40,65)",2.87014048531019
"40","[15,18)","[65,Inf)",0.183980718342357
"41","[18,40)","[0,3)",0.551390763680846
"42","[18,40)","[3,5)",0.330039740982695
"43","[18,40)","[5,10)",0.67118667331048
"44","[18,40)","[10,15)",0.915091759795197
"45","[18,40)","[15,18)",0.88284948718937
"46","[18,40)","[18,40)",8.57490577666895
"47","[18,40)","[40,65)",4.03866494150399
"48","[18,40)","[65,Inf)",0.356002998074455
"49","[40,65)","[0,3)",0.295805833826977
"50","[40,65)","[3,5)",0.246909528512124
"51","[40,65)","[5,10)",0.610488900255237
"52","[40,65)","[10,15)",0.743717998478707
"53","[40,65)","[15,18)",0.475918796142415
"54","[40,65)","[18,40)",4.48860991313855
"55","[40,65)","[40,65)",4.64912284645808
"56","[40,65)","[65,Inf)",0.591238979648407
"57","[65,Inf)","[0,3)",0.0826598284064208
"58","[65,Inf)","[3,5)",0.138511526139127
"59","[65,Inf)","[5,10)",0.398294679049061
"60","[65,Inf)","[10,15)",0.265358051207389
"61","[65,Inf)","[15,18)",0.123446623094827
"62","[65,Inf)","[18,40)",1.60105000635261
"63","[65,Inf)","[40,65)",2.3924356223171
"64","[65,Inf)","[65,Inf)",1.15115299916931
